ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
LFQG,medium_airport,Nevers-Fourchambault Airport,602,EU,FR,FR-BFC,Nevers/Fourchambault,LFQG,NVS,,"47.002601623535156, 3.1133298873901367"
SBNF,medium_airport,Ministro Victor Konder International Airport,18,SA,BR,BR-SC,Navegantes,SBNF,NVT,SC0002,"-26.879431, -48.650979"
IN-NVY,small_airport,Neyveli Airport,184,AS,IN,IN-TN,Neyveli,VONV,NVY,,"11.6129560471, 79.527381897"
FMCI,medium_airport,Mohéli Bandar Es Eslam Airport,46,AF,KM,KM-M,Fomboni,FMCI,NWA,,"-12.2981, 43.766399"
EGSH,medium_airport,Norwich Airport,117,EU,GB,GB-ENG,Norwich,EGSH,NWI,,"52.6758, 1.28278"
NWT,small_airport,Nowata Airport,2040,OC,PG,PG-MBA,Nowata,AYNW,NWT,NTA,"-9.984166666669998, 149.729166667"
USHN,medium_airport,Nyagan Airport,361,EU,RU,RU-KHM,Nyagan,USHN,NYA,,"62.110001, 65.614998"
HKNI,small_airport,Nyeri Airport,5830,AF,KE,KE-200,Nyeri,HKNI,NYE,,"-0.3644140064716339, 36.978485107421875"
DGSN,medium_airport,Sunyani Airport,1014,AF,GH,GH-BO,Sunyani,DGSN,NYI,,"7.36183, -2.32876"
HKNY,medium_airport,Nanyuki Airport,6250,AF,KE,KE-200,Nanyuki,HKNL,NYK,,"-0.062399, 37.041008"
USMM,medium_airport,Nadym Airport,49,AS,RU,RU-YAN,Nadym,USMM,NYM,,"65.48090362548828, 72.69889831542969"
YNYN,small_airport,Nyngan Airport,569,OC,AU,AU-NSW,,YNYN,NYN,,"-31.550645, 147.202973"
ESKN,medium_airport,Stockholm Skavsta Airport,140,EU,SE,SE-D,Nyköping,ESKN,NYO,,"58.788601, 16.912201"
UENN,small_airport,Nyurba Airport,394,EU,RU,RU-SA,Nyurba,UENN,NYR,,"63.294998, 118.336998"
6N7,seaplane_base,New York Skyports Inc Seaplane Base,,NA,US,US-NY,New York,,NYS,6N7,"40.735061, -73.972814"
VYEL,medium_airport,Nay Pyi Taw International Airport,302,AS,MM,MM-04,Pyinmana,VYNT,NYT,,"19.623501, 96.200996"
VYBG,small_airport,Bagan Airport,312,AS,MM,MM-04,Nyaung U,VYBG,NYU,,"21.178800582885742, 94.9301986694336"
VYMY,small_airport,Monywar Airport,298,AS,MM,MM-01,Monywar,VYMY,NYW,,"22.221638, 95.093479"
FNZG,small_airport,Nzagi Airport,2431,AF,AO,AO-LNO,Nzagi,FNZG,NZA,,"-7.716939926149999, 21.358200073200003"
SPZA,medium_airport,Maria Reiche Neuman Airport,1860,SA,PE,PE-ICA,Nazca,SPZA,NZC,,"-14.854, -74.961502"
GUNZ,small_airport,Nzérékoré Airport,1657,AF,GN,GN-N,Nzérékoré,GUNZ,NZE,,"7.810413, -8.702073"
ZBMZ,medium_airport,Manzhouli Xijiao Airport,2231,AS,CN,CN-15,,ZBMZ,NZH,,"49.566667, 117.33"
ZBZL,medium_airport,Zhalantun Genghis Khan Airport,928,AS,CN,CN-15,Zhalantun,ZBZL,NZL,,"47.865942, 122.768662"
KNZY,medium_airport,North Island Naval Air Station-Halsey Field,26,NA,US,US-CA,San Diego,KNZY,NZY,NZY,"32.69919968, -117.2149963"
OAA,small_airport,Shank Air Base,6890,AS,AF,AF-LOW,Baraki Barak,OASH,OAA,,"33.922217, 69.07794"
YORG,medium_airport,Orange Airport,3115,OC,AU,AU-NSW,Orange,YORG,OAG,,"-33.382014, 149.131262"
OASD,small_airport,Shindand Air Base,3773,AS,AF,AF-FRA,Shindand,OASD,OAH,,"33.3913, 62.261002"
OAIX,medium_airport,Bagram Airfield,4895,AS,AF,AF-PAR,Bagram,OAIX,OAI,,"34.946098, 69.264999"
KOAJ,medium_airport,Albert J Ellis Airport,94,NA,US,US-NC,Richlands,KOAJ,OAJ,OAJ,"34.829201, -77.612099"
KOAK,large_airport,Metropolitan Oakland International Airport,9,NA,US,US-CA,Oakland,KOAK,OAK,OAK,"37.721298, -122.221001"
SSKW,small_airport,Cacoal Airport,778,SA,BR,BR-RO,Cacoal,SSKW,OAL,,"-11.496, -61.4508"
NZOU,medium_airport,Oamaru Airport,99,OC,NZ,NZ-OTA,,NZOU,OAM,,"-44.970001220703125, 171.08200073242188"
MHEA,small_airport,El Arrayán Airport,722,NA,HN,HN-YO,Olanchito,MHOA,OAN,,"15.505556, -86.574722"
KOAR,small_airport,Marina Municipal Airport,137,NA,US,US-CA,Marina,KOAR,OAR,OAR,"36.68190002, -121.762001"
OASA,small_airport,Sharana Airstrip,7340,AS,AF,AF-PKA,Sharana,OASA,OAS,,"33.12575, 68.838517"
MMOX,medium_airport,Xoxocotlán International Airport,4989,NA,MX,MX-OAX,Oaxaca,MMOX,OAX,,"16.9999008179, -96.726600647"
OAZI,small_airport,Camp Shorabak Airfield,2943,AS,AF,AF-HEL,Lashkar Gah,OAZI,OAZ,,"31.848735, 64.223175"
HDOB,small_airport,Obock Airport,69,AF,DJ,DJ-OB,Obock,HDOB,OBC,,"11.967000007629395, 43.266998291015625"
ID-OBD,small_airport,Obano Airport,5800,AS,ID,ID-PT,Obano,WAYO,OBD,,"-3.9106, 136.2306"
KOBE,small_airport,Okeechobee County Airport,34,NA,US,US-FL,Okeechobee,KOBE,OBE,OBE,"27.262800216699997, -80.8498001099"
EDMO,medium_airport,Oberpfaffenhofen Airport,1947,EU,DE,DE-BY,Weßling,EDMO,OBF,,"48.081402, 11.2831"
SNTI,small_airport,Óbidos Municipal Airport,328,SA,BR,BR-PA,Óbidos,SNTI,OBI,PA0016,"-1.867981, -55.514596"
AYMB,small_airport,Morobe Airport,8,OC,PG,PG-MPL,Morobe,AYMB,OBM,MBE,"-7.74, 147.59"
EGEO,small_airport,Oban Airport,20,EU,GB,GB-SCT,North Connel,EGEO,OBN,,"56.4635009765625, -5.399670124053955"
RJCB,medium_airport,Tokachi-Obihiro Airport,505,AS,JP,JP-01,Obihiro,RJCB,OBO,,"42.7332992554, 143.216995239"
LFHO,medium_airport,Aubenas-Ardèche Méridional Airport,923,EU,FR,FR-ARA,Aubenas/Ardèche Méridional,LFHO,OBS,,"44.544203, 4.372192"
PAOB,small_airport,Kobuk Airport,137,NA,US,US-AK,Kobuk,PAOB,OBU,OBU,"66.9123001099, -156.897003174"
PG-OBX,small_airport,Obo Airport,29,OC,PG,PG-WPD,Obo,AYOB,OBX,OBO,"-7.590622421369999, 141.324262619"
BGSC,heliport,Ittoqqortoormiit Heliport,238,NA,GL,GL-SE,Ittoqqortoormiit,BGSC,OBY,,"70.488229, -21.97168"
07FA,small_airport,Ocean Reef Club Airport,8,NA,US,US-FL,Key Largo,07FA,OCA,07FA,"25.325399398804, -80.274803161621"
SECO,medium_airport,Francisco De Orellana Airport,834,SA,EC,EC-D,Coca,SECO,OCC,,"-0.4628860056400299, -76.98680114746094"
KOXB,small_airport,Ocean City Municipal Airport,11,NA,US,US-MD,Ocean City,KOXB,OCE,OXB,"38.310398101807, -75.124000549316"
KOCF,small_airport,Ocala International Airport - Jim Taylor Field,90,NA,US,US-FL,Ocala,KOCF,OCF,OCF,"29.17259979, -82.22419739"
KOCH,small_airport,A L Mangham Jr. Regional Airport,355,NA,US,US-TX,Nacogdoches,KOCH,OCH,OCH,"31.57799911, -94.70950317"
MKBS,medium_airport,Ian Fleming International Airport,90,NA,JM,JM-05,Boscobel,MKBS,OCJ,,"18.404079, -76.969754"
YBGD,small_airport,Boolgeeda,1871,OC,AU,AU-WA,,YBGD,OCM,,"-22.54, 117.275"
KOKB,small_airport,Oceanside Municipal Airport,28,NA,US,US-CA,Oceanside,KOKB,OCN,OKB,"33.217947, -117.351683"
OCS,small_airport,Corisco International Airport,55,AF,GQ,GQ-LI,Corisco Island,FGCO,OCS,,"0.9125, 9.3304"
SKOC,medium_airport,Aguas Claras Airport,3850,SA,CO,CO-NSA,Ocaña,SKOC,OCV,OCV,"8.31506, -73.3583"
KOCW,small_airport,Warren Field,38,NA,US,US-NC,Washington,KOCW,OCW,OCW,"35.570499420166, -77.049797058105"
FEFW,small_airport,Ouadda Airport,2461,AF,CF,CF-HK,Ouadda,FEFW,ODA,,"8.010560035705566, 22.39859962463379"
LEBA,medium_airport,Córdoba Airport,297,EU,ES,ES-AN,Córdoba,LEBA,ODB,,"37.841999, -4.84888"
KO27,small_airport,Oakdale Airport,237,NA,US,US-CA,Oakdale,O27,ODC,O27,"37.75630188, -120.8000031"
YOOD,small_airport,Oodnadatta Airport,118,OC,AU,AU-SA,,YOOD,ODD,,"-27.562473, 135.442946"
EKOD,medium_airport,Odense Airport,56,EU,DK,DK-83,Odense,EKOD,ODE,,"55.47669982910156, 10.330900192260742"
EGVO,medium_airport,RAF Odiham,405,EU,GB,GB-ENG,Odiham,EGVO,ODH,,"51.2341003418, -0.94282501936"
FEGO,small_airport,Ouanda Djallé Airport,1985,AF,CF,CF-VR,Ouanda Djallé,FEGO,ODJ,,"8.899999618530273, 22.783000946044922"
YCOD,small_airport,Cordillo Downs Airport,125,OC,AU,AU-SA,Cordillo Downs,YCOD,ODL,,"-26.74530029296875, 140.63800048828125"
WBGI,small_airport,Long Seridan Airport,607,AS,MY,MY-13,Long Seridan,WBGI,ODN,,"3.9670000076293945, 115.05000305175781"
UIKB,small_airport,Bodaybo Airport,919,AS,RU,RU-IRK,Bodaybo,UIKB,ODO,,"57.866100311299995, 114.242996216"
YORV,small_airport,Ord River Airport,390,OC,AU,AU-WA,Ord River,YORV,ODR,,"-17.34079933166504, 128.91200256347656"
UKOO,medium_airport,Odessa International Airport,172,EU,UA,UA-51,Odessa,UKOO,ODS,,"46.4268, 30.6765"
KOKH,small_airport,AJ Eisenberg Airport,193,NA,US,US-WA,Oak Harbor,KOKH,ODW,OKH,"48.251499176, -122.674003601"
VLOS,small_airport,Oudomsay Airport,1804,AS,LA,LA-OU,Oudomsay,VLOS,ODY,,"20.68269920349121, 101.99400329589844"
KOEA,small_airport,O'Neal Airport,414,NA,US,US-IL,Lawrenceville,KOEA,OEA,OEA,"38.68521, -87.543138"
WPOC,medium_airport,Rota Do Sândalo Oecusse Airport,,AS,TL,TL-OE,Oecussi-Ambeno,WPOC,OEC,,"-9.19806, 124.343002"
SMPA,small_airport,Vincent Fayks Airport,714,SA,SR,SR-SI,Paloemeu,SMPA,OEM,,"3.346051, -55.443707"
KOEO,small_airport,L O Simenstad Municipal Airport,903,NA,US,US-WI,Osceola,KOEO,OEO,OEO,"45.310001373291, -92.691902160645"
ESNO,medium_airport,Örnsköldsvik Airport,354,EU,SE,SE-Y,Örnsköldsvik,ESNO,OER,,"63.40829849243164, 18.989999771118164"
SAVN,small_airport,Antoine de Saint Exupéry Airport,85,SA,AR,AR-R,San Antonio Oeste,SAVN,OES,SAN,"-40.7512, -65.0343"
DIOF,small_airport,Ouango Fitini Airport,974,AF,CI,CI-ZZ,Ouango Fitini,DIOF,OFI,,"9.600000381469727, -4.050000190734863"
BIOF,small_airport,Ólafsfjörður Airport,32,EU,IS,IS-6,Ólafsfjörður,BIOF,OFJ,,"66.08329772949219, -18.66670036315918"
KOFK,medium_airport,Karl Stefan Memorial Airport,1573,NA,US,US-NE,Norfolk,KOFK,OFK,OFK,"41.985500335693, -97.435096740723"
NSAS,small_airport,Ofu Airport,9,OC,AS,AS-MA,Ofu,NSAS,OFU,Z08,"-14.1844, -169.669998"
KOGA,small_airport,Searle Field,3279,NA,US,US-NE,Ogallala,KOGA,OGA,OGA,"41.11949921, -101.7699966"
KOGB,medium_airport,Orangeburg Municipal Airport,195,NA,US,US-SC,Orangeburg,KOGB,OGB,OGB,"33.456798553467, -80.859497070312"
KOGD,medium_airport,Ogden Hinckley Airport,4473,NA,US,US-UT,Ogden,KOGD,OGD,OGD,"41.195899963379, -112.0120010376"
OGE,small_airport,Ogeranang Airport,5850,OC,PG,PG-MPL,,AYOG,OGE,OGN,"-6.46675, 147.364166667"
PHOG,medium_airport,Kahului International Airport,54,NA,US,US-HI,Kahului,PHOG,OGG,OGG,"20.898543, -156.431212"
SYGO,medium_airport,Eugene F. Correira International Airport,10,SA,GY,GY-DE,Ogle,SYEC,OGL,,"6.80628, -58.1059"
OGM,small_airport,Ogobsucum Airport,13,NA,PA,PS-GY,Ustupu,,OGM,,"9.1383, -77.93385"
ROYN,medium_airport,Yonaguni Airport,70,AS,JP,JP-47,Yonaguni,ROYN,OGN,,"24.467298, 122.979827"
DIAU,small_airport,Abengourou Airport,676,AF,CI,CI-CM,Abengourou,DIAU,OGO,,"6.715559959411621, -3.4702799320220947"
FTTB,small_airport,Bongor Airport,1076,AF,TD,TD-ME,Bongor,FTTB,OGR,,"10.288345, 15.379561"
KOGS,medium_airport,Ogdensburg International Airport,297,NA,US,US-NY,Ogdensburg,KOGS,OGS,OGS,"44.6819, -75.4655"
LTCB,medium_airport,Ordu–Giresun Airport,11,AS,TR,TR-52,Ordu,LTCB,OGU,OGU,"40.966872, 38.085995"
DAUU,medium_airport,Ain Beida Airport,492,AF,DZ,DZ-30,Ouargla,DAUU,OGX,,"31.9172, 5.41278"
URMO,medium_airport,Vladikavkaz Beslan International Airport,1673,EU,RU,RU-SE,Beslan,URMO,OGZ,,"43.205101, 44.606602"
NZOH,medium_airport,RNZAF Base Ohakea,164,OC,NZ,NZ-MWT,,NZOH,OHA,,"-40.20600128173828, 175.38800048828125"
MG-0001,small_airport,Ambohibary Airport,2960,AF,MG,MG-A,Moramanga,FMFE,OHB,OMB,"-18.9175, 48.2181944444"
LWOH,medium_airport,Ohrid St. Paul the Apostle Airport,2313,EU,MK,MK-003,Ohrid,LWOH,OHD,,"41.18, 20.7423"
ZYMH,medium_airport,Mohe Gulian Airport,1836,AS,CN,CN-23,Mohe,ZYMH,OHE,,"52.916871, 122.422759"
UHSH,small_airport,Okha Airport,115,EU,RU,RU-SAK,Okha,UHSH,OHH,,"53.517656, 142.879772"
FYOS,small_airport,Oshakati Airport,3616,AF,NA,NA-ON,Oshakati,FYOS,OHI,,"-17.797, 15.6993"
UHOO,medium_airport,Okhotsk Airport,45,AS,RU,RU-KHA,Okhotsk,UHOO,OHO,,"59.410065, 143.056503"
EDXY,small_airport,Wyk auf Föhr Airport,26,EU,DE,DE-SH,Wyk auf Föhr,EDXY,OHR,,"54.684444427490234, 8.528332710266113"
OOSH,small_airport,Sohar Airport,20,AS,OM,OM-BA,Sohar,OOSH,OHS,,"24.38604, 56.62541"
OPKT,small_airport,Kohat Airport,1650,AS,PK,PK-KP,Kohat,OPKT,OHT,,"33.5699996948, 71.4400024414"
SDOW,small_airport,Ourilândia do Norte Airport,901,SA,BR,BR-PA,Ourilândia do Norte,SDOW,OIA,SDOW,"-6.763100147250001, -51.0499000549"
KOIC,small_airport,Lt Warren Eaton Airport,1025,NA,US,US-NY,Norwich,KOIC,OIC,OIC,"42.566600799561, -75.524101257324"
RJTO,medium_airport,Oshima Airport,130,AS,JP,JP-13,Izu Oshima,RJTO,OIM,,"34.782001495399996, 139.36000061"
RJEO,medium_airport,Okushiri Airport,161,AS,JP,JP-01,Okushiri Island,RJEO,OIR,,"42.0717010498, 139.432998657"
RJFO,medium_airport,Oita Airport,19,AS,JP,JP-44,Oita,RJFO,OIT,,"33.479400634799994, 131.736999512"
KOJC,small_airport,Johnson County Executive Airport,1096,NA,US,US-KS,Olathe,KOJC,OJC,OJC,"38.84759903, -94.73760223"
WAFU,small_airport,Tanjung Api Airport,49,AS,ID,ID-ST,Tojo Una-Una,WAFU,OJU,,"-0.865437, 121.628625"
ROAH,large_airport,Naha Airport / JASDF Naha Air Base,12,AS,JP,JP-47,Naha,ROAH,OKA,,"26.195801, 127.646004"
AU-OKB,small_airport,Orchid Beach Airport,71,OC,AU,AU-QLD,Orchid Beach,YORC,OKB,YORC,"-24.959400177002, 153.31500244141"
KOKC,medium_airport,Will Rogers World Airport,1295,NA,US,US-OK,Oklahoma City,KOKC,OKC,OKC,"35.393101, -97.6007"
RJCO,medium_airport,Sapporo Okadama Airport,25,AS,JP,JP-01,Sapporo,RJCO,OKD,,"43.117447, 141.38134"
RJKB,medium_airport,Okinoerabu Airport,101,AS,JP,JP-46,Wadomari,RJKB,OKE,,"27.425501, 128.701004"
FYOO,small_airport,Okaukuejo Airport,3911,AF,NA,NA-KU,Okaukuejo,FYOO,OKF,,"-19.149200439453125, 15.91189956665039"
CG-OKG,small_airport,Okoyo Airport,1415,AF,CG,CG-8,Okoyo,,OKG,,"-1.4483300447464, 15.073300361633"
RJNO,medium_airport,Oki Global Geopark Airport,311,AS,JP,JP-32,Okinoshima,RJNO,OKI,,"36.178388, 133.323566"
RJOB,medium_airport,Okayama Momotaro Airport,806,AS,JP,JP-33,Okayama,RJOB,OKJ,,"34.756901, 133.854996"
KOKK,small_airport,Kokomo Municipal Airport,830,NA,US,US-IN,Kokomo,KOKK,OKK,OKK,"40.528198242188, -86.05899810791"
WAJO,medium_airport,Oksibil Airport,4315,AS,ID,ID-PP,Oksibil,WAJO,OKL,,"-4.9071, 140.6277"
KOKM,small_airport,Okmulgee Regional Airport,720,NA,US,US-OK,Okmulgee,KOKM,OKM,OKM,"35.668098449707, -95.948699951172"
FOGQ,medium_airport,Okondja Airport,1325,AF,GA,GA-2,Okondja,FOGQ,OKN,,"-0.6652140021324158, 13.673100471496582"
RJTY,large_airport,Yokota Air Base,463,AS,JP,JP-13,Fussa,RJTY,OKO,,"35.748501, 139.348007"
AYOJ,small_airport,Oksapmin Airport,5140,OC,PG,PG-SAN,Oksapmin,AYOJ,OKP,OKN,"-5.2261, 142.2259"
WAKO,small_airport,Okaba Airport,23,AS,ID,ID-PS,Okaba,WAKO,OKQ,,"-8.0946, 139.7233"
YYKI,small_airport,Yorke Island Airport,10,OC,AU,AU-QLD,Yorke Island,YYKI,OKR,,"-9.752801, 143.405673"
KOKS,small_airport,Garden County Airport/King Rhiley Field,3394,NA,US,US-NE,Oshkosh,KOKS,OKS,OKS,"41.401001, -102.355003"
UWUK,small_airport,Oktyabrskiy Airport,377,AS,RU,RU-TA,Kzyl-Yar,UWUK,OKT,,"54.439999, 53.388302"
FYMO,small_airport,Mokuti Lodge Airport,3665,AF,NA,NA-OT,Mokuti Lodge,FYMO,OKU,,"-18.81279945373535, 17.05940055847168"
OKV,small_airport,Okao Airport,450,OC,PG,PG-WPD,Okao,AYOF,OKV,OKO,"-5.55666666667, 141.032777778"
YBOK,medium_airport,Oakey Army Aviation Centre,1335,OC,AU,AU-QLD,,YBOK,OKY,,"-27.409262, 151.736727"
ENOL,medium_airport,Ørland Airport,28,EU,NO,NO-50,Ørland,ENOL,OLA,,"63.69889831542969, 9.604000091552734"
LIEO,medium_airport,Olbia Costa Smeralda Airport,37,EU,IT,IT-88,Olbia (SS),LIEO,OLB,SS03,"40.898701, 9.51763"
SDCG,small_airport,Senadora Eunice Micheles Airport,335,SA,BR,BR-AM,São Paulo De Olivença,SDCG,OLC,AM0016,"-3.46907, -68.921056"
KOLD,small_airport,Dewitt Field - Old Town Municipal Airport,126,NA,US,US-ME,Old Town,KOLD,OLD,OLD,"44.952801, -68.674301"
KOLF,medium_airport,L M Clayton Airport,1986,NA,US,US-MT,Wolf Point,KOLF,OLF,OLF,"48.094501495399996, -105.574996948"
KE-0208,small_airport,Olare Orok Airfield,5779,AF,KE,KE-700,,,OLG,,"-1.324213, 35.246106"
OLH,small_airport,Old Harbor Airport,55,NA,US,US-AK,Old Harbor,,OLH,6R7,"57.218102, -153.270004"
BIRF,small_airport,Rif Airport,18,EU,IS,IS-3,Rif,BIRF,OLI,,"64.9113998413, -23.8230991364"
NVSZ,small_airport,North West Santo Airport,50,OC,VU,VU-SAM,Olpoi,NVSZ,OLJ,,"-14.881699562099998, 166.557998657"
PY-OLK,medium_airport,Aeropuerto Nacional de Fuerte Olimpo,275,SA,PY,PY-16,Fuerte Olimpo,SGOL,OLK,,"-21.045874, -57.881223"
FCOD,medium_airport,Oyo Ollombo Airport,1073,AF,CG,CG-14,Oyo,FCOD,OLL,,"-1.226666, 15.91"
KOLM,medium_airport,Olympia Regional Airport,209,NA,US,US-WA,Olympia,KOLM,OLM,OLM,"46.9693985, -122.9029999"
AR-0494,small_airport,Colonia Sarmiento Airport,877,SA,AR,AR-U,Sarmiento,,OLN,STO,"-45.582371, -68.999841"
LKOL,small_airport,Olomouc Airport,869,EU,CZ,CZ-OL,Olomouc,LKOL,OLO,,"49.587799, 17.2108"
YOLD,small_airport,Olympic Dam Airport,343,OC,AU,AU-SA,Olympic Dam,YOLD,OLP,,"-30.485000610399997, 136.876998901"
OLQ,small_airport,Olsobip Airport,1500,OC,PG,PG-WPD,Olsobip,AYOV,OLQ,OLS,"-5.3897222222200005, 141.515277778"
AF11,small_airport,Salerno Airport,3780,AS,AF,AF-KHO,Khost,OASL,OLR,,"33.3638, 69.9561"
KOLS,medium_airport,Nogales International Airport,3955,NA,US,US-AZ,Nogales,KOLS,OLS,OLS,"31.4177, -110.848"
KOLV,small_airport,Olive Branch Airport,402,NA,US,US-MS,Olive Branch,KOLV,OLV,OLV,"34.9786987305, -89.78690338130001"
KE-6208,small_airport,Olkiombo Airport,5011,AF,KE,KE-700,Olkiombo,HKOK,OLX,,"-1.408586, 35.110689"
UEMO,medium_airport,Olyokminsk Airport,656,EU,RU,RU-SA,Olyokminsk,UEMO,OLZ,,"60.397499, 120.471001"
KOMA,large_airport,Eppley Airfield,984,NA,US,US-NE,Omaha,KOMA,OMA,OMA,"41.3032, -95.894096"
FOOH,medium_airport,Omboue Hospital Airport,33,AF,GA,GA-8,Omboue,FOOH,OMB,,"-1.57473, 9.26269"
RPVO,medium_airport,Ormoc Airport,83,AS,PH,PH-LEY,Ormoc City,RPVO,OMC,,"11.057999610900879, 124.56500244140625"
FYOG,medium_airport,Oranjemund Airport,14,AF,NA,NA-KA,Oranjemund,FYOG,OMD,,"-28.5847, 16.446699"
PAOM,medium_airport,Nome Airport,37,NA,US,US-AK,Nome,PAOM,OME,OME,"64.51219940185547, -165.44500732421875"
OJMF,small_airport,King Hussein Air College,2240,AS,JO,JO-MA,Mafraq,OJMF,OMF,,"32.3564, 36.259201"
FYOE,small_airport,Omega Airport,3346,AF,NA,NA-KE,Omega,FYOE,OMG,,"-18.0303, 22.189699"
OITR,medium_airport,Urmia Airport,4343,AS,IR,IR-04,Urmia,OITR,OMH,,"37.6680984497, 45.0686988831"
OIAJ,small_airport,Omidiyeh Airport,85,AS,IR,IR-06,Omidiyeh,OIAJ,OMI,,"30.8351993560791, 49.5349006652832"
RJDU,small_airport,JMSDF Omura Air Base,,AS,JP,JP-42,Nagasaki,RJDU,OMJ,,"32.928046, 129.934168"
KOMK,small_airport,Omak Airport,1305,NA,US,US-WA,Omak,KOMK,OMK,OMK,"48.4644012451, -119.517997742"
OOMX,small_airport,Marmul Airport,925,AS,OM,OM-ZU,Marmul,OOMX,OMM,,"18.138999, 55.179005"
OMN,small_airport,Osmanabad Airport,2277,AS,IN,IN-MM,Osmanabad,,OMN,,"18.281, 76.0574"
LQMO,medium_airport,Mostar International Airport,156,EU,BA,BA-BIH,Mostar,LQMO,OMO,,"43.282901763916016, 17.84589958190918"
LROD,medium_airport,Oradea International Airport,465,EU,RO,RO-BH,Oradea,LROD,OMR,,"47.025299072265625, 21.90250015258789"
UNOO,medium_airport,Omsk Central Airport,311,AS,RU,RU-OMS,Omsk,UNOO,OMS,,"54.96699905395508, 73.31050109863281"
OMY,small_airport,Preah Vinhear Airport,350,AS,KH,KH-13,Tbeng Meanchey,,OMY,,"13.7597, 104.97173"
ONB,small_airport,Ononge Airport,5800,OC,PG,PG-CPM,Onange Mission,AYQQ,ONB,ONG,"-8.67436111111, 147.262416667"
FYOA,medium_airport,Ondangwa Airport,3599,AF,NA,NA-ON,Ondangwa,FYOA,OND,,"-17.878201, 15.9526"
YMTI,small_airport,Mornington Island Airport,33,OC,AU,AU-QLD,,YMTI,ONG,,"-16.662500381469727, 139.17799377441406"
WABD,small_airport,Moanamani Airport,5204,AS,ID,ID-PT,Moanamani,WABD,ONI,,"-4.00659, 136.037704"
RJSR,medium_airport,Odate Noshiro Airport,292,AS,JP,JP-05,Kitaakita,RJSR,ONJ,,"40.191898, 140.371002"
UERO,small_airport,Olenyok Airport,847,EU,RU,RU-SA,Olenyok,UERO,ONK,,"68.514999, 112.480003"
KONL,small_airport,The O'Neill Municipal John L Baker Field,2031,NA,US,US-NE,O'Neill,KONL,ONL,ONL,"42.469898, -98.688103"
KONO,medium_airport,Ontario Municipal Airport,2193,NA,US,US-OR,Oregon,KONO,ONO,ONO,"44.0198, -117.013289"
KONP,medium_airport,Newport Municipal Airport,160,NA,US,US-OR,Newport,KONP,ONP,ONP,"44.580399, -124.057999"
LTAS,medium_airport,Zonguldak Çaycuma Airport,44,AS,TR,TR-67,Zonguldak,LTAS,ONQ,,"41.506401, 32.0886"
YMNK,small_airport,Monkira Airport,107,OC,AU,AU-QLD,,YMNK,ONR,,"-24.816699981689453, 140.5330047607422"
YOLW,small_airport,Onslow Airport,7,OC,AU,AU-WA,,YOLW,ONS,,"-21.670161, 115.114902"
KONT,large_airport,Ontario International Airport,944,NA,US,US-CA,Ontario,KONT,ONT,ONT,"34.055999755859375, -117.60099792480469"
NFOL,small_airport,Ono-i-Lau Airport,110,OC,FJ,FJ-E,Ono-i-Lau,NFOL,ONU,,"-20.6589, -178.7411"
MPEJ,medium_airport,Enrique Adolfo Jimenez Airport,25,NA,PA,PA-3,Colón,MPEJ,ONX,,"9.356639862060547, -79.86740112304688"
YKDD,small_airport,Koodaideri Mine Airport,1473,OC,AU,AU-WA,Koodaideri Mine,YKDD,OOD,,"-22.504291, 119.07683"
PAOO,small_airport,Toksook Bay Airport,59,NA,US,US-AK,Toksook Bay,PAOO,OOK,OOK,"60.54140091, -165.0870056"
YBCG,medium_airport,Gold Coast Airport,21,OC,AU,AU-QLD,Gold Coast,YBCG,OOL,,"-28.165962, 153.506641"
YCOM,medium_airport,Cooma Snowy Mountains Airport,3088,OC,AU,AU-NSW,Cooma,YCOM,OOM,,"-36.300445, 148.972408"
YMOO,small_airport,Mooraberree Airport,85,OC,AU,AU-QLD,,YMOO,OOR,,"-25.25, 140.98300170898438"
NGON,small_airport,Onotoa Airport,7,OC,KI,KI-G,Onotoa,NGON,OOT,,"-1.7961100339889526, 175.5260009765625"
BIKP,small_airport,Kópasker Airport,20,EU,IS,IS-6,Kópasker,BIKP,OPA,,"66.31079864501953, -16.466699600219727"
AYOY,small_airport,Open Bay Airport,33,OC,PG,PG-EBR,Maitanakunai,AYOY,OPB,OBY,"-4.794727, 151.696195"
KOPF,medium_airport,Miami-Opa Locka Executive Airport,8,NA,US,US-FL,Miami,KOPF,OPF,OPF,"25.907, -80.278397"
YOEN,small_airport,Oenpelli Airport,30,OC,AU,AU-NT,,YOEN,OPI,,"-12.324999809265137, 133.00599670410156"
LPPR,large_airport,Francisco de Sá Carneiro Airport,228,EU,PT,PT-13,Porto,LPPR,OPO,,"41.2481002808, -8.68138980865"
SNSM,small_airport,Salinópolis Airport,105,SA,BR,BR-PA,Salinópolis,SNSM,OPP,SNSM,"-0.696111, -47.336111"
SWSI,small_airport,Presidente João Batista Figueiredo Airport,1227,SA,BR,BR-MT,Sinop,SBSI,OPS,MT0002,"-11.885001, -55.586109"
PG-OPU,medium_airport,Balimo Airport,51,OC,PG,PG-WPD,Balimo,AYBM,OPU,BLI,"-8.05000019073, 142.932998657"
FYOP,small_airport,Opuwa Airport,3770,AF,NA,NA-KU,Opuwa,FYOP,OPW,,"-18.061424, 13.85047"
SASO,medium_airport,Orán Airport,1171,SA,AR,AR-A,Orán,SASO,ORA,ORA,"-23.1527996063, -64.3292007446"
